METHOD;ITEMCOUNT;MEAN (us);P95 (us);GEN 0;GEN 1;GEN 2;ALLOCATED (KB)
SmallWcfText;0;336.5;345.6;8.7891;0;0;28.17
SmallWcfWebXml;0;371;377.6;10.2539;0;0;31.66
SmallWcfWebJson;0;380.2;401.3;10.2539;0;0;33.07
SmallWcfBinary;0;344.4;351.6;8.7891;0;0;27.65
SmallWcfNetTcp;0;108.7;110.5;1.4648;0;0;4.62
SmallWcfMsgPackCli;0;368.4;375.4;10.2539;0;0;32.02
SmallWebApiJsonNetHttpClient;0;864.3;934.3;26.3672;11.7188;0;85.28
SmallWebApiJsonNetHttpClientAsync;0;906.8;941;25.3906;9.7656;0;85.1
SmallWebApiJsonNetHttpWebRequest;0;361.6;368.2;19.043;6.8359;0;69.87
SmallWebApiMessagePackHttpClient;0;775.5;884.3;17.5781;5.8594;0;61.4
SmallWebApiMessagePackHttpClientAsync;0;855.8;900.9;16.6016;5.8594;0;64.05
SmallWebApiMessagePackHttpWebRequest;0;450.4;476.3;14.6484;5.3711;0;52.47
SmallWebApiMsgPackCliHttpClient;0;1079.8;1105.8;83.9844;11.7188;0;264.17
SmallWebApiMsgPackCliHttpClientAsync;0;1119.8;1144.6;85.9375;9.7656;0;267.14
SmallWebApiMsgPackCliHttpWebRequest;0;543.8;555.6;60.0586;11.2305;0;186.32
SmallWebApiXmlHttpClient;0;942.7;957.5;29.2969;11.7188;0;104.33
SmallWebApiXmlHttpClientAsync;0;951;958.3;29.2969;11.7188;0;103.51
SmallWebApiXmlHttpWebRequest;0;518.6;525.3;29.2969;13.1836;0;93.74
SmallWebApiUtf8JsonHttpClient;0;831.9;883.6;16.6016;6.8359;0;60.96
SmallWebApiUtf8JsonHttpClientAsync;0;815.5;902.7;18.5547;6.8359;0;64.02
SmallWebApiUtf8JsonHttpWebRequest;0;463.1;480.3;14.1602;5.3711;0;52.3
SmallWebApiZeroFormatterHttpClient;0;975.3;1033.9;68.3594;7.8125;0;225.09
SmallWebApiZeroFormatterHttpClientAsync;0;1035.9;1070.8;72.2656;7.8125;0;226.42
SmallWebApiZeroFormatterHttpWebRequest;0;505.1;523;38.5742;10.2539;0;128.45
SmallAspNetCoreJsonNetHttpClient;0;547.4;618.6;17.5781;0;0;55.33
SmallAspNetCoreJsonNetHttpClientAsync;0;779.5;862;17.5781;0;0;55.4
SmallAspNetCoreJsonNetHttpWebRequest;0;421.9;443.5;14.1602;0;0;43.97
SmallAspNetCoreMessagePackHttpClient;0;508.3;547.3;11.7188;0;0;38.97
